Date,Open,High,Low,Close,Adj Close,Volume
2001-03-12,44.000000,45.310001,40.560001,41.200001,35.574585,409808400
2001-03-19,41.439999,43.830002,39.490002,42.799999,36.956123,479730700
2001-03-26,43.470001,43.720001,38.000000,39.150002,33.804493,348791000
2001-04-02,39.169998,39.849998,33.599998,35.950001,31.041426,408362600
2001-04-09,36.790001,42.799999,35.849998,42.799999,36.956123,318264800
2001-04-16,41.939999,49.439999,39.900002,48.400002,41.791504,479881200
2001-04-23,46.990002,47.720001,43.099998,45.150002,38.985264,363314500
2001-04-30,46.250000,49.400002,45.110001,48.200001,41.618813,345722200
2001-05-07,48.000000,48.599998,45.090000,45.549999,39.330635,273407600
2001-05-14,45.299999,48.790001,43.349998,48.040001,41.480663,307131900
2001-05-21,48.169998,51.950001,47.650002,48.990002,42.300938,326262400
2001-05-28,48.500000,48.500000,44.080002,46.049999,39.762360,277899600
2001-06-04,46.330002,49.490002,45.290001,47.349998,40.884880,292803500
2001-06-11,46.900002,47.000000,41.279999,42.599998,36.783436,371435000
2001-06-18,42.639999,44.230000,41.259998,43.250000,37.344688,339597600
2001-06-25,43.610001,46.520000,42.480000,45.700001,39.460159,297339900
2001-07-02,45.650002,46.480000,41.490002,41.650002,35.963146,173487300
2001-07-09,41.889999,44.430000,39.869999,43.150002,37.258347,314845200
2001-07-16,43.369999,43.860001,41.139999,41.650002,35.963146,303604000
2001-07-23,42.240002,42.400002,39.310001,41.950001,36.222176,311264100
2001-07-30,42.130001,44.000000,41.400002,43.180000,37.284241,253757700
2001-08-06,42.529999,42.849998,39.230000,40.279999,34.780205,280911700
2001-08-13,40.590000,41.700001,37.709999,37.759998,32.604275,283505200
2001-08-20,37.849998,39.389999,36.540001,39.299999,33.934006,284750700
2001-08-27,39.279999,39.900002,35.750000,36.630001,31.628565,305678300
2001-09-03,36.509998,37.500000,33.349998,33.700001,29.098631,353765400
2001-09-10,33.490002,34.320000,33.340000,34.099998,29.444014,80371300
2001-09-17,31.250000,32.799999,27.200001,28.190001,24.340958,483801100
2001-09-24,29.080000,30.430000,27.420000,28.980000,25.023096,384178400
2001-10-01,28.850000,33.200001,27.850000,31.760000,27.423506,487607700
2001-10-08,31.129999,35.250000,30.750000,34.549999,29.832563,428328800
2001-10-15,34.119999,36.000000,32.000000,33.549999,28.969110,469081500
2001-10-22,33.439999,37.060001,33.220001,36.009998,31.093214,480714300
2001-10-29,36.000000,36.150002,32.840000,35.599998,30.739206,452048200
2001-11-05,36.259998,39.400002,36.160000,37.730000,32.578369,444288200
2001-11-12,37.000000,40.240002,36.299999,39.369999,33.994450,449971500
2001-11-19,39.790001,40.490002,37.980000,39.279999,33.916744,242286700
2001-11-26,39.580002,40.970001,38.689999,39.650002,34.236233,426918300
2001-12-03,39.290001,43.240002,38.439999,41.730000,36.032219,414936900
2001-12-10,41.320000,42.259998,39.570000,40.110001,34.633408,360826800
2001-12-17,40.020000,41.500000,38.680000,39.480000,34.089436,331995900
2001-12-24,39.540001,40.799999,39.150002,40.330002,34.823395,123828900
2001-12-31,40.310001,42.290001,38.910000,41.669998,35.980412,280531700
2002-01-07,42.110001,42.599998,40.110001,40.849998,35.272366,363626900
2002-01-14,40.490002,40.750000,38.220001,38.590000,33.320953,386440300
2002-01-21,39.000000,39.509998,37.330002,38.830002,33.528187,292825900
2002-01-28,39.150002,39.400002,36.849998,38.139999,32.932384,363383800
2002-02-04,37.959999,38.070000,34.970001,36.169998,31.231365,446333700
2002-02-11,36.139999,37.570000,35.639999,35.779999,30.894621,327305800
2002-02-18,35.369999,35.459999,33.090000,33.650002,29.055462,388121900
2002-02-25,34.000000,35.750000,33.750000,35.740002,30.860079,460630100
2002-03-04,35.700001,39.029999,35.400002,38.669998,33.390026,454070300
2002-03-11,38.349998,39.189999,36.590000,37.230000,32.146641,359730500
2002-03-18,37.630001,37.939999,35.900002,36.680000,31.671747,347831300
2002-03-25,36.689999,36.900002,35.400002,36.060001,31.136404,303950600
2002-04-01,35.799999,36.900002,34.180000,34.369999,29.677149,393204200
2002-04-08,33.470001,34.980000,32.880001,33.520000,28.943207,410635300
2002-04-15,33.799999,35.500000,33.200001,34.459999,29.754860,363874500
2002-04-22,34.009998,34.009998,31.010000,31.040001,26.801813,409916900
2002-04-29,31.240000,32.189999,29.480000,29.740000,25.679327,468615800
2002-05-06,29.629999,31.889999,28.420000,29.559999,25.523899,546947100
2002-05-13,29.870001,33.630001,29.670000,32.930000,28.433762,524389300
2002-05-20,32.599998,32.700001,30.410000,31.240000,26.974514,422187700
2002-05-27,31.469999,31.520000,29.900000,30.040001,25.938358,314287500
2002-06-03,30.000000,30.250000,27.520000,28.299999,24.435942,467935900
2002-06-10,28.360001,28.750000,26.200001,27.620001,23.848795,530389900
2002-06-17,28.000000,29.150000,25.650000,25.820000,22.294561,550307400
2002-06-24,25.450001,26.799999,24.389999,26.100000,22.536331,714301900
2002-07-01,25.969999,26.389999,23.090000,26.340000,22.743544,334218800
2002-07-08,26.200001,26.549999,23.530001,24.799999,21.413826,603992300
2002-07-15,24.680000,26.440001,23.750000,23.990000,20.714426,684612300
2002-07-22,23.850000,24.500000,21.639999,22.670000,19.574654,737264900
2002-07-29,23.270000,24.690001,21.820000,22.250000,19.212000,479816500
2002-08-05,22.110001,23.709999,21.299999,23.330000,20.144545,531214300
2002-08-12,23.049999,25.000000,22.469999,24.700001,21.327486,470079600
2002-08-19,24.770000,26.209999,24.680000,25.150000,21.716038,422919400
2002-08-26,25.299999,25.510000,23.020000,23.490000,20.282688,447741200
2002-09-02,23.059999,23.430000,21.930000,22.850000,19.730080,342131100
2002-09-09,22.670000,24.350000,22.389999,22.990000,19.850952,371677700
2002-09-16,22.860001,23.209999,21.480000,21.670000,18.711193,404716200
2002-09-23,21.450001,22.330000,20.650000,21.309999,18.400347,459019900
2002-09-30,21.070000,21.990000,20.110001,20.350000,17.571426,444620100
2002-10-07,20.260000,22.379999,19.760000,22.219999,19.186096,511653800
2002-10-14,21.870001,23.850000,21.780001,23.809999,20.559000,475204600
2002-10-21,23.520000,24.860001,23.299999,24.700001,21.327486,423584100
2002-10-28,25.000000,25.400000,23.370001,25.250000,21.802383,452248400
2002-11-04,26.049999,26.820000,24.959999,25.070000,21.646969,466066600
2002-11-11,24.950001,26.450001,24.150000,26.440001,22.829906,437486300
2002-11-18,26.709999,27.940001,25.299999,27.719999,23.935135,418763400
2002-11-25,27.760000,28.290001,26.900000,27.719999,23.935135,260980000
2002-12-02,28.420000,28.790001,25.740000,26.469999,22.855803,458508500
2002-12-09,26.219999,26.690001,25.010000,25.040001,21.621059,344615300
2002-12-16,25.219999,26.200001,24.809999,25.320000,21.862823,351520200
2002-12-23,25.180000,25.910000,24.750000,24.820000,21.431097,139000000
2002-12-30,24.840000,25.709999,24.280001,25.680000,22.173681,208374500
2003-01-06,25.709999,27.260000,25.200001,27.100000,23.399780,388924800
2003-01-13,27.330000,27.469999,25.270000,25.309999,21.854189,321024800
2003-01-20,25.410000,25.840000,24.639999,24.820000,21.431097,300740600
2003-01-27,24.450001,25.450001,24.010000,24.440001,21.102985,398335100
2003-02-03,24.520000,24.860001,23.650000,23.809999,20.559000,377366600
2003-02-10,23.889999,24.610001,23.320000,24.490000,21.146154,342046700
2003-02-17,24.700001,25.370001,24.510000,25.170000,21.733309,249506500
2003-02-24,25.129999,25.219999,24.080000,25.160000,21.724672,307702700
2003-03-03,25.270000,25.480000,23.959999,24.540001,21.189335,317954000
2003-03-10,24.330000,25.980000,23.540001,25.719999,22.208220,407074000
2003-03-17,25.430000,27.379999,25.350000,27.170000,23.460230,514998900
2003-03-24,26.469999,26.770000,25.950001,26.080000,22.519058,341344000
2003-03-31,25.600000,26.850000,25.209999,26.049999,22.493155,374152500
2003-04-07,27.110001,27.200001,25.299999,25.510000,22.026886,339542400
2003-04-14,25.600000,26.980000,25.490000,26.820000,23.158018,258023400
2003-04-21,26.940001,27.750000,26.620001,26.950001,23.270271,329475700
2003-04-28,27.049999,28.290001,26.950001,28.280001,24.418669,350798800
2003-05-05,28.330000,28.900000,27.760000,28.410000,24.530918,366989100
2003-05-12,28.360001,28.990000,28.170000,28.700001,24.781334,327425300
2003-05-19,28.520000,28.680000,27.410000,28.100000,24.263245,327125000
2003-05-26,27.930000,29.870001,27.900000,29.790001,25.722500,353142200
2003-06-02,30.080000,31.469999,29.309999,30.129999,26.016068,517581700
2003-06-09,30.000000,30.750000,29.530001,29.959999,25.869278,414744200
2003-06-16,30.170000,31.240000,30.000000,30.379999,26.231936,369978300
2003-06-23,30.330000,30.570000,29.469999,29.830000,25.757036,425408500
2003-06-30,30.160000,31.100000,29.260000,30.580000,26.404629,309918400
2003-07-07,30.969999,32.490002,30.959999,31.840000,27.492592,430674300
2003-07-14,32.340000,32.750000,30.920000,31.280001,27.009058,436501700
2003-07-21,31.240000,32.020000,30.610001,31.799999,27.458061,437556500
2003-07-28,31.860001,32.330002,31.240000,31.459999,27.164473,352447700
2003-08-04,31.420000,31.799999,29.930000,30.070000,25.964264,438206100
2003-08-11,30.080000,31.290001,30.030001,31.170000,26.914070,259745800
2003-08-18,31.309999,33.369999,31.230000,32.439999,28.010664,363813800
2003-08-25,32.360001,33.459999,31.809999,33.389999,28.830961,278875100
2003-09-01,33.490002,34.340000,33.130001,33.939999,29.305862,320298100
2003-09-08,34.000000,34.529999,33.009998,33.820000,29.202251,470615900
2003-09-15,33.840000,34.860001,33.439999,34.580002,29.858465,383118600
2003-09-22,34.130001,34.560001,32.520000,32.580002,28.131548,514547200
2003-09-29,32.759998,34.470001,32.360001,34.189999,29.521734,519412800
2003-10-06,34.279999,35.270000,34.009998,35.009998,30.229761,387227200
2003-10-13,35.139999,35.849998,34.599998,34.610001,29.884373,391989300
2003-10-20,34.650002,35.450001,33.490002,34.200001,29.530357,434329500
2003-10-27,34.279999,36.000000,34.040001,35.180000,30.376556,395591200
2003-11-03,35.430000,36.180000,35.150002,35.630001,30.765110,352660400
2003-11-10,35.700001,36.020000,34.849998,35.040001,30.255676,380043300
2003-11-17,34.840000,34.970001,33.730000,34.230000,29.556263,502083900
2003-11-24,34.520000,35.520000,34.470001,35.380001,30.549263,262222800
2003-12-01,35.709999,36.119999,34.959999,35.040001,30.255676,442665300
2003-12-08,35.020000,35.459999,34.130001,35.240002,30.428345,480979000
2003-12-15,35.930000,35.990002,34.419998,35.459999,30.618322,444226400
2003-12-22,35.349998,36.090000,35.290001,35.849998,30.955069,200917700
2003-12-29,36.029999,36.790001,36.020000,36.360001,31.407703,227274300
2004-01-05,36.580002,38.349998,36.560001,37.730000,32.591110,372678300
2004-01-12,37.849998,38.630001,37.599998,38.570000,33.316696,420516500
2004-01-19,38.730000,39.000000,37.779999,38.009998,32.832985,372991600
2004-01-26,37.980000,38.650002,36.660000,37.070000,32.020996,537879900
2004-02-02,37.200001,37.480000,36.330002,37.130001,32.072830,481888200
2004-02-09,37.340000,37.970001,36.759998,36.939999,31.908709,377490200
2004-02-16,37.279999,37.900002,36.549999,36.860001,31.839609,373842100
2004-02-23,37.000000,37.029999,36.099998,36.570000,31.589119,494890300
2004-03-01,36.680000,37.180000,36.209999,36.630001,31.640932,439187700
2004-03-08,36.689999,36.820000,34.799999,35.509998,30.673462,643467600
2004-03-15,35.360001,35.619999,34.630001,34.750000,30.016989,541989800
2004-03-22,34.529999,35.580002,34.009998,35.220001,30.422983,599245800
2004-03-29,35.509998,37.160000,35.490002,37.099998,32.046928,524587000
2004-04-05,37.009998,37.500000,36.660000,36.939999,31.908709,334144200
2004-04-12,37.020000,37.360001,35.790001,36.090000,31.174475,503875400
2004-04-19,36.009998,37.259998,35.639999,37.209999,32.141922,552713200
2004-04-26,37.180000,37.290001,34.720001,34.770000,30.034260,581427700
2004-05-03,35.000000,35.750000,34.849998,34.970001,30.207027,581131000
2004-05-10,34.669998,35.450001,34.270000,34.750000,30.016989,746742000
2004-05-17,34.380001,35.509998,34.110001,35.020000,30.250219,595253400
2004-05-24,35.299999,36.549999,34.950001,36.549999,31.571821,506535800
2004-05-31,36.270000,36.660000,35.820000,36.189999,31.260853,382647100
2004-06-07,36.439999,37.189999,36.340000,36.840000,31.822350,335380000
2004-06-14,36.610001,36.990002,36.099998,36.439999,31.476799,398296600
2004-06-21,36.520000,37.389999,36.020000,37.330002,32.245590,434639900
2004-06-28,37.490002,37.900002,36.630001,36.820000,31.805059,456306800
2004-07-05,36.599998,36.599998,35.549999,35.750000,30.880783,420625800
2004-07-12,35.570000,35.810001,34.619999,34.669998,29.947872,493348500
2004-07-19,34.779999,35.650002,34.029999,34.209999,29.550535,599171300
2004-07-26,34.240002,35.099998,33.700001,34.889999,30.137915,552704300
2004-08-02,34.610001,35.020000,32.660000,32.720001,28.263487,512248000
2004-08-09,32.810001,33.480000,32.349998,32.520000,28.090719,511427300
2004-08-16,32.610001,34.139999,32.590000,34.009998,29.377777,470685500
2004-08-23,34.049999,34.680000,33.810001,34.560001,29.852861,374656500
2004-08-30,34.410000,34.880001,33.650002,34.139999,29.490053,413516000
2004-09-06,34.400002,35.189999,34.119999,35.119999,30.336599,410011700
2004-09-13,35.250000,35.720001,35.119999,35.430000,30.604383,426969900
2004-09-20,35.290001,35.849998,34.750000,34.799999,30.060184,501510500
2004-09-27,34.619999,36.150002,34.230000,36.099998,31.183117,460951400
2004-10-04,36.360001,36.689999,35.500000,35.580002,30.733942,483049800
2004-10-11,35.720001,36.139999,35.200001,35.630001,30.777138,510075300
2004-10-18,35.509998,36.790001,35.400002,35.799999,30.923979,582379800
2004-10-25,35.730000,37.240002,35.410000,36.900002,31.874157,565344000
2004-11-01,36.980000,38.160000,36.799999,37.959999,32.789787,551798400
2004-11-08,37.950001,38.759998,37.650002,38.660000,33.394440,448403900
2004-11-15,38.639999,39.360001,38.320000,38.680000,33.411720,518486000
2004-11-22,38.610001,39.480000,38.480000,39.209999,33.869526,277108500
2004-11-29,39.459999,40.590000,38.970001,40.130001,34.664219,521036800
2004-12-06,40.119999,40.500000,39.240002,39.930000,34.491463,422499500
2004-12-13,40.230000,40.680000,39.430000,39.470001,34.094124,445509000
2004-12-20,39.570000,39.930000,39.090000,39.759998,34.673569,310662300
2004-12-27,39.980000,40.160000,39.400002,39.919998,34.813099,262145500
2005-01-03,40.090000,40.290001,38.209999,38.549999,33.618359,591558200
2005-01-10,38.439999,38.869999,38.009998,38.430000,33.513706,518361200
2005-01-17,38.279999,38.790001,36.990002,37.049999,32.310257,456274500
2005-01-24,37.119999,37.290001,36.459999,36.919998,32.196873,579439400
2005-01-31,37.360001,37.820000,37.000000,37.750000,32.920712,455370600
2005-02-07,37.799999,38.009998,36.880001,37.700001,32.877098,456706800
2005-02-14,37.700001,38.480000,37.259998,37.349998,32.571857,451376400
2005-02-21,37.029999,37.700001,36.700001,37.619999,32.807323,395565400
2005-02-28,37.459999,38.020000,36.919998,37.520000,32.720123,457878600
2005-03-07,37.599998,38.290001,37.020000,37.169998,32.414890,481123200
2005-03-14,37.240002,37.480000,36.349998,36.509998,31.839334,528339500
2005-03-21,36.599998,36.750000,36.070000,36.270000,31.630051,381780500
2005-03-28,36.410000,36.880001,35.939999,36.200001,31.568993,524397500
2005-04-04,36.250000,37.070000,36.029999,36.639999,31.952694,429476700
2005-04-11,36.750000,36.779999,34.680000,34.740002,30.295755,652891200
2005-04-18,34.709999,35.709999,34.590000,35.090000,30.600985,586965400
2005-04-25,35.299999,35.700001,34.349998,34.980000,30.505056,532286000
2005-05-02,35.099998,36.020000,34.889999,35.860001,31.272484,418210000
2005-05-09,35.869999,36.470001,35.299999,36.240002,31.603874,525321200
2005-05-16,36.240002,37.689999,36.130001,37.660000,32.842205,458014800
2005-05-23,37.660000,38.270000,37.590000,38.209999,33.321854,404512500
2005-05-30,38.189999,38.680000,37.919998,38.099998,33.225925,359082100
2005-06-06,38.119999,38.470001,37.380001,37.549999,32.746277,426201700
2005-06-13,37.480000,38.209999,37.250000,37.869999,33.025356,423242700
2005-06-20,37.720001,38.180000,36.959999,36.970001,32.270287,504954100
2005-06-27,36.950001,37.259998,36.680000,36.730000,32.060810,360683200
2005-07-04,36.599998,37.810001,36.549999,37.770000,32.968578,379176700
2005-07-11,37.869999,39.000000,37.799999,38.889999,33.946220,420852800
2005-07-18,38.790001,39.689999,38.689999,39.419998,34.408836,426890600
2005-07-25,39.459999,39.919998,39.189999,39.580002,34.548496,338438100
2005-08-01,39.639999,40.139999,39.430000,39.480000,34.461205,339013800
2005-08-08,39.520000,39.689999,38.970001,39.209999,34.225540,406690500
2005-08-15,39.139999,39.630001,38.740002,38.820000,33.885105,356711300
2005-08-22,38.880001,39.180000,38.270000,38.459999,33.570866,356734400
2005-08-29,38.259998,39.150002,38.259998,38.770000,33.841461,383869600
2005-09-05,38.950001,39.689999,38.900002,39.619999,34.583405,284418500
2005-09-12,39.630001,39.910000,39.049999,39.400002,34.391388,367935300
2005-09-19,39.320000,39.540001,38.240002,38.750000,33.824009,493834700
2005-09-26,38.970001,39.480000,38.450001,39.459999,34.443741,402344700
2005-10-03,39.540001,39.880001,37.919998,38.340000,33.466125,526520000
2005-10-10,38.270000,38.459999,37.330002,38.060001,33.221725,594891200
2005-10-17,38.070000,38.849998,37.610001,38.549999,33.649426,527639600
2005-10-24,38.730000,39.270000,37.919998,38.320000,33.448666,514839800
2005-10-31,38.450001,40.230000,38.419998,40.080002,34.984928,528189800
2005-11-07,40.209999,40.919998,39.919998,40.709999,35.534843,417463300
2005-11-14,40.770000,41.650002,40.380001,41.450001,36.180771,402337300
2005-11-21,41.400002,42.020000,41.240002,41.889999,36.564838,245576800
2005-11-28,42.000000,42.130001,41.189999,42.110001,36.756859,405046900
2005-12-05,42.060001,42.310001,41.270000,41.720001,36.416451,395484900
2005-12-12,41.869999,42.209999,41.549999,41.580002,36.294262,331407000
2005-12-19,41.669998,41.709999,40.750000,41.400002,36.224304,311684300
2005-12-26,41.520000,41.680000,40.360001,40.410000,35.358059,213286900
2006-01-02,40.650002,42.700001,40.160000,42.680000,37.344273,389830600
2006-01-09,42.680000,43.310001,42.520000,42.980000,37.606770,412900900
2006-01-16,42.650002,42.820000,41.150002,41.250000,36.093048,498647400
2006-01-23,41.360001,42.389999,41.080002,42.110001,36.845554,512596200
2006-01-30,42.180000,42.320000,40.779999,40.919998,35.804325,459241000
2006-02-06,40.720001,41.369999,40.259998,40.959999,35.839314,416186900
2006-02-13,40.700001,41.549999,40.299999,41.209999,36.058060,442867500
2006-02-20,41.209999,41.540001,40.610001,41.259998,36.101807,300687800
